input_text,output_text
"Crop: Maize, Predicted Yield: 3.41 t/ha, Area=36 ha, Budget=289973 INR, Goal: maximize profit","Choose hybrid seeds, apply drip irrigation, and pest management. This helps to maximize profit effectively."
"Crop: Cotton, Predicted Yield: 3.33 t/ha, Area=10 ha, Budget=309590 INR, Goal: improve sustainability","Use organic pesticides, rotate with legumes, and adopt drip irrigation. This helps to improve sustainability effectively."
"Crop: Cotton, Predicted Yield: 5.56 t/ha, Area=23 ha, Budget=213746 INR, Goal: improve sustainability","Use organic pesticides, rotate with legumes, and adopt drip irrigation. This helps to improve sustainability effectively."
"Crop: Pulses, Predicted Yield: 3.19 t/ha, Area=33 ha, Budget=177862 INR, Goal: maximize yield","Adopt short-duration varieties, organic manure, and less water. This helps to maximize yield effectively."
"Crop: Cotton, Predicted Yield: 3.44 t/ha, Area=47 ha, Budget=351923 INR, Goal: maximize yield","Use organic pesticides, rotate with legumes, and adopt drip irrigation. This helps to maximize yield effectively."
"Crop: Sugarcane, Predicted Yield: 4.36 t/ha, Area=34 ha, Budget=269102 INR, Goal: maximize yield","Plant Co varieties, apply fertigation, and intercrop with pulses. This helps to maximize yield effectively."
"Crop: Pulses, Predicted Yield: 5.33 t/ha, Area=8 ha, Budget=323560 INR, Goal: improve sustainability","Adopt short-duration varieties, organic manure, and less water. This helps to improve sustainability effectively."
"Crop: Cotton, Predicted Yield: 5.27 t/ha, Area=48 ha, Budget=497614 INR, Goal: maximize yield","Use organic pesticides, rotate with legumes, and adopt drip irrigation. This helps to maximize yield effectively."
"Crop: Sugarcane, Predicted Yield: 5.6 t/ha, Area=28 ha, Budget=140153 INR, Goal: maximize yield","Plant Co varieties, apply fertigation, and intercrop with pulses. This helps to maximize yield effectively."
"Crop: Rice, Predicted Yield: 2.05 t/ha, Area=39 ha, Budget=384678 INR, Goal: maximize profit","Use high-yield variety, balanced NPK, and regular irrigation. This helps to maximize profit effectively."
